Quantity,Sum,Max Position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10,10,10,0.26,0.77,0.73,0.7,0.21,1.22,0.15,1.69,1.92,2.35,,,,,,,,,,
20,5.2,6,0.35,0.15,0.36,0.27,0.18,0.55,0.05,0.08,0.3,0.38,0.34,0.07,0.21,0.44,0.48,0.14,0.32,0.02,0.07,0.44
20,2,19,0.12,0.06,0.06,0.13,0.17,0.15,0.01,0.16,0.08,0.11,0.13,0.05,0.15,0.09,0.02,0.02,0.04,0.04,0.31,0.1
20,5,7,0.14,0.24,0.23,0.05,0.41,0.05,0.52,0.47,0.42,0.2,0.42,0.08,0.39,0.26,0.18,0.14,0.04,0.27,0.4,0.09
20,5,20,0.14,0.3,0.33,0.05,0.11,0.5,0.29,0.24,0.07,0.24,0.49,0.1,0.47,0.36,0.25,0.14,0.09,0.21,0.07,0.55
20,5,20,0.4,0.41,0.22,0.08,0.17,0.14,0.21,0.16,0.29,0.02,0.46,0.19,0.04,0.1,0.48,0.52,0.21,0.2,0.15,0.55
20,5,3,0.02,0.03,0.52,0.51,0.43,0.05,0.04,0.14,0.33,0.29,0.16,0.21,0.33,0.43,0.02,0.52,0.25,0.22,0.03,0.47
20,5,20,0.15,0.05,0.35,0.43,0.44,0.28,0.3,0.26,0.18,0.02,0.04,0.15,0.2,0.12,0.22,0.45,0.25,0.03,0.18,0.9
20,5,4,0.06,0.17,0.08,0.52,0.09,0.44,0.25,0.02,0.18,0.42,0.1,0.48,0.35,0.42,0.23,0.44,0.19,0.25,0.04,0.27
20,5,20,0.49,0.07,0.11,0.37,0.24,0.22,0.21,0.31,0.02,0.44,0.43,0.45,0.05,0.14,0.11,0.1,0.13,0.33,0.15,0.63
20,5,20,0.22,0.12,0.35,0.14,0.18,0.37,0.06,0.53,0.38,0.23,0.12,0.26,0.35,0.03,0.32,0.1,0.03,0.13,0.05,1.03
20,5,14,0.17,0.15,0.31,0.17,0.13,0.41,0.04,0.05,0.49,0.07,0.03,0.12,0.39,0.64,0.5,0.17,0.43,0.07,0.49,0.17
20,5,19,0.45,0.31,0.02,0.42,0.43,0.15,0.08,0.15,0.29,0.04,0.38,0.2,0.02,0.34,0.23,0.02,0.47,0.12,0.71,0.17
20,5,20,0.1,0.36,0.05,0.45,0.49,0.11,0.09,0.07,0.06,0.14,0.57,0.2,0.34,0.53,0.24,0.1,0.27,0.12,0.07,0.64
20,5,9,0.24,0.33,0.16,0.13,0.37,0.21,0.07,0.14,0.46,0.44,0.34,0.43,0.18,0.2,0.26,0.28,0.21,0.16,0.06,0.33
20,5,15,0.11,0.19,0.25,0.41,0.18,0.4,0.37,0.06,0.19,0.2,0.17,0.26,0.08,0.14,0.53,0.28,0.07,0.52,0.27,0.32
20,5,19,0.26,0.37,0.18,0.31,0.39,0.23,0.4,0.42,0.07,0.36,0.35,0.04,0.05,0.33,0.17,0.12,0.15,0.26,0.52,0.02
20,5,9,0.35,0.46,0.23,0.29,0.18,0.2,0.24,0.02,0.49,0.04,0.33,0.03,0.27,0.37,0.44,0.18,0.4,0.22,0.08,0.18
20,5,1,0.42,0.04,0.3,0.06,0.19,0.39,0.38,0.35,0.4,0.42,0.16,0.02,0.31,0.4,0.08,0.17,0.39,0.31,0.12,0.09
20,5,20,0.21,0.1,0.13,0.47,0.24,0.19,0.47,0.4,0.3,0.27,0.13,0.11,0.15,0.06,0.18,0.07,0.22,0.38,0.32,0.6
20,5,12,0.41,0.1,0.28,0.23,0.22,0.32,0.24,0.44,0.07,0.26,0.14,0.48,0.22,0.39,0.1,0.32,0.16,0.24,0.1,0.28
20,5,13,0.15,0.35,0.19,0.02,0.03,0.22,0.39,0.33,0.24,0.08,0.17,0.23,0.57,0.16,0.57,0.12,0.1,0.55,0.14,0.39
20,5,18,0.36,0.39,0.06,0.15,0.21,0.33,0.16,0.11,0.28,0.13,0.04,0.34,0.04,0.2,0.31,0.33,0.37,0.76,0.17,0.26
20,5,13,0.4,0.21,0.43,0.28,0.11,0.35,0.27,0.06,0.16,0.02,0.16,0.12,0.57,0.47,0.23,0.02,0.17,0.33,0.24,0.4
20,5,20,0.39,0.44,0.14,0.23,0.19,0.18,0.22,0.1,0.02,0.44,0.18,0.41,0.32,0.31,0.07,0.38,0.12,0.32,0.06,0.48
20,5,4,0.33,0.1,0.45,0.46,0.33,0.1,0.45,0.24,0.16,0.05,0.45,0.25,0.26,0.2,0.05,0.25,0.33,0.01,0.37,0.16
20,5,6,0.17,0.34,0.2,0.35,0.3,0.4,0.3,0.28,0.31,0.28,0.35,0.27,0.34,0.27,0.03,0.03,0.11,0.36,0.26,0.05
20,5,19,0.06,0.21,0.02,0.09,0.02,0.16,0.41,0.6,0.41,0.23,0.4,0.12,0.08,0.17,0.27,0.04,0.47,0.06,0.93,0.25
20,5,4,0.21,0.32,0.05,0.51,0.02,0.3,0.3,0.48,0.31,0.13,0.27,0.41,0.07,0.26,0.24,0.36,0.37,0.09,0.21,0.09
20,5,12,0.04,0.25,0.4,0.05,0.04,0.03,0.13,0.56,0.11,0.1,0.04,0.66,0.3,0.5,0.29,0.33,0.41,0.12,0.44,0.2
20,5,18,0.38,0.16,0.2,0.37,0.02,0.1,0.27,0.5,0.16,0.33,0.04,0.21,0.12,0.13,0.43,0.35,0.03,0.74,0.3,0.16
20,5,15,0.34,0.46,0.41,0.15,0.29,0.28,0.26,0.02,0.15,0.17,0.36,0.17,0.1,0.02,0.48,0.47,0.37,0.24,0.19,0.07
